# v2.3 | 20260227 | BIM Template family_parameter_bindings
ParameterGroup,ParameterName,GUID,DataType,BindingType,Description,RevitCategory,Maps_To_Shared_Param_GUID
COM_DAT,CST_S_CON_AGGREGATE_VOLUME_CU_M,426e88b6-548f-5c28-adb2-efec4fc47d7f,VOLUME,Type,AGGREGATEVOLUMEREQUIREDINCUBICMETERS,Electrical Equipment,426e88b6-548f-5c28-adb2-efec4fc47d7f
COM_DAT,CST_S_CON_AGGREGATE_VOLUME_CU_M,426e88b6-548f-5c28-adb2-efec4fc47d7f,VOLUME,Type,AGGREGATEVOLUMEREQUIREDINCUBICMETERS,Furniture,426e88b6-548f-5c28-adb2-efec4fc47d7f
COM_DAT,CST_S_CON_AGGREGATE_VOLUME_CU_M,426e88b6-548f-5c28-adb2-efec4fc47d7f,VOLUME,Type,AGGREGATEVOLUMEREQUIREDINCUBICMETERS,Generic Models,426e88b6-548f-5c28-adb2-efec4fc47d7f
COM_DAT,CST_S_CON_AGGREGATE_VOLUME_CU_M,426e88b6-548f-5c28-adb2-efec4fc47d7f,VOLUME,Type,AGGREGATEVOLUMEREQUIREDINCUBICMETERS,Mechanical Equipment,426e88b6-548f-5c28-adb2-efec4fc47d7f
COM_DAT,CST_S_CON_AGGREGATE_VOLUME_CU_M,426e88b6-548f-5c28-adb2-efec4fc47d7f,VOLUME,Type,AGGREGATEVOLUMEREQUIREDINCUBICMETERS,Plumbing Fixtures,426e88b6-548f-5c28-adb2-efec4fc47d7f
COM_DAT,CST_S_CON_AGGREGATE_VOLUME_CU_M,426e88b6-548f-5c28-adb2-efec4fc47d7f,VOLUME,Type,AGGREGATEVOLUMEREQUIREDINCUBICMETERS,Specialty Equipment,426e88b6-548f-5c28-adb2-efec4fc47d7f
COM_DAT,CST_S_CON_CEMENT_BAGS_NR,424e9aac-c0b7-5890-b302-bab5fd5785b3,NUMBER,Type,CEMENTBAGSFORCONCRETE(50KGBAGS),Casework,424e9aac-c0b7-5890-b302-bab5fd5785b3
COM_DAT,CST_S_CON_CEMENT_BAGS_NR,424e9aac-c0b7-5890-b302-bab5fd5785b3,NUMBER,Type,CEMENTBAGSFORCONCRETE(50KGBAGS),Electrical Equipment,424e9aac-c0b7-5890-b302-bab5fd5785b3
COM_DAT,CST_S_CON_CEMENT_BAGS_NR,424e9aac-c0b7-5890-b302-bab5fd5785b3,NUMBER,Type,CEMENTBAGSFORCONCRETE(50KGBAGS),Furniture,424e9aac-c0b7-5890-b302-bab5fd5785b3
COM_DAT,CST_S_CON_CEMENT_BAGS_NR,424e9aac-c0b7-5890-b302-bab5fd5785b3,NUMBER,Type,CEMENTBAGSFORCONCRETE(50KGBAGS),Generic Models,424e9aac-c0b7-5890-b302-bab5fd5785b3
COM_DAT,CST_S_CON_CEMENT_BAGS_NR,424e9aac-c0b7-5890-b302-bab5fd5785b3,NUMBER,Type,CEMENTBAGSFORCONCRETE(50KGBAGS),Mechanical Equipment,424e9aac-c0b7-5890-b302-bab5fd5785b3
COM_DAT,CST_S_CON_CEMENT_BAGS_NR,424e9aac-c0b7-5890-b302-bab5fd5785b3,NUMBER,Type,CEMENTBAGSFORCONCRETE(50KGBAGS),Plumbing Fixtures,424e9aac-c0b7-5890-b302-bab5fd5785b3
COM_DAT,CST_S_CON_CEMENT_BAGS_NR,424e9aac-c0b7-5890-b302-bab5fd5785b3,NUMBER,Type,CEMENTBAGSFORCONCRETE(50KGBAGS),Specialty Equipment,424e9aac-c0b7-5890-b302-bab5fd5785b3
COM_DAT,CST_S_CON_CST_TOTAL_UGX_NR,79396c2b-e76e-526c-83fe-470fe44b5f36,CURRENCY,Type,TOTALCONCRETECOSTINUGANDASHILLINGS,Casework,79396c2b-e76e-526c-83fe-470fe44b5f36
COM_DAT,CST_S_CON_CST_TOTAL_UGX_NR,79396c2b-e76e-526c-83fe-470fe44b5f36,CURRENCY,Type,TOTALCONCRETECOSTINUGANDASHILLINGS,Electrical Equipment,79396c2b-e76e-526c-83fe-470fe44b5f36
COM_DAT,CST_S_CON_CST_TOTAL_UGX_NR,79396c2b-e76e-526c-83fe-470fe44b5f36,CURRENCY,Type,TOTALCONCRETECOSTINUGANDASHILLINGS,Furniture,79396c2b-e76e-526c-83fe-470fe44b5f36
COM_DAT,CST_S_CON_CST_TOTAL_UGX_NR,79396c2b-e76e-526c-83fe-470fe44b5f36,CURRENCY,Type,TOTALCONCRETECOSTINUGANDASHILLINGS,Generic Models,79396c2b-e76e-526c-83fe-470fe44b5f36
COM_DAT,CST_S_CON_CST_TOTAL_UGX_NR,79396c2b-e76e-526c-83fe-470fe44b5f36,CURRENCY,Type,TOTALCONCRETECOSTINUGANDASHILLINGS,Mechanical Equipment,79396c2b-e76e-526c-83fe-470fe44b5f36
COM_DAT,CST_S_CON_CST_TOTAL_UGX_NR,79396c2b-e76e-526c-83fe-470fe44b5f36,CURRENCY,Type,TOTALCONCRETECOSTINUGANDASHILLINGS,Plumbing Fixtures,79396c2b-e76e-526c-83fe-470fe44b5f36
COM_DAT,CST_S_CON_CST_TOTAL_UGX_NR,79396c2b-e76e-526c-83fe-470fe44b5f36,CURRENCY,Type,TOTALCONCRETECOSTINUGANDASHILLINGS,Specialty Equipment,79396c2b-e76e-526c-83fe-470fe44b5f36
COM_DAT,CST_S_CON_CURING_DAYS_NR,a64ca95a-acf1-57f1-a531-4e6790fb4d31,NUMBER,Type,REQUIREDCURINGPERIODINDAYS,Casework,a64ca95a-acf1-57f1-a531-4e6790fb4d31
COM_DAT,CST_S_CON_CURING_DAYS_NR,a64ca95a-acf1-57f1-a531-4e6790fb4d31,NUMBER,Type,REQUIREDCURINGPERIODINDAYS,Electrical Equipment,a64ca95a-acf1-57f1-a531-4e6790fb4d31
COM_DAT,CST_S_CON_CURING_DAYS_NR,a64ca95a-acf1-57f1-a531-4e6790fb4d31,NUMBER,Type,REQUIREDCURINGPERIODINDAYS,Furniture,a64ca95a-acf1-57f1-a531-4e6790fb4d31
COM_DAT,CST_S_CON_CURING_DAYS_NR,a64ca95a-acf1-57f1-a531-4e6790fb4d31,NUMBER,Type,REQUIREDCURINGPERIODINDAYS,Generic Models,a64ca95a-acf1-57f1-a531-4e6790fb4d31
COM_DAT,CST_S_CON_CURING_DAYS_NR,a64ca95a-acf1-57f1-a531-4e6790fb4d31,NUMBER,Type,REQUIREDCURINGPERIODINDAYS,Mechanical Equipment,a64ca95a-acf1-57f1-a531-4e6790fb4d31
COM_DAT,CST_S_CON_CURING_DAYS_NR,a64ca95a-acf1-57f1-a531-4e6790fb4d31,NUMBER,Type,REQUIREDCURINGPERIODINDAYS,Plumbing Fixtures,a64ca95a-acf1-57f1-a531-4e6790fb4d31
COM_DAT,CST_S_CON_CURING_DAYS_NR,a64ca95a-acf1-57f1-a531-4e6790fb4d31,NUMBER,Type,REQUIREDCURINGPERIODINDAYS,Specialty Equipment,a64ca95a-acf1-57f1-a531-4e6790fb4d31
COM_DAT,CST_S_CON_GRADE_TXT,9406b214-102a-589e-87f8-c9ebb6a3c6e6,TEXT,Type,"CONCRETEGRADE(C15,C20,C25,C30)",Casework,9406b214-102a-589e-87f8-c9ebb6a3c6e6
COM_DAT,CST_S_CON_GRADE_TXT,9406b214-102a-589e-87f8-c9ebb6a3c6e6,TEXT,Type,"CONCRETEGRADE(C15,C20,C25,C30)",Electrical Equipment,9406b214-102a-589e-87f8-c9ebb6a3c6e6
COM_DAT,CST_S_CON_GRADE_TXT,9406b214-102a-589e-87f8-c9ebb6a3c6e6,TEXT,Type,"CONCRETEGRADE(C15,C20,C25,C30)",Furniture,9406b214-102a-589e-87f8-c9ebb6a3c6e6
COM_DAT,CST_S_CON_GRADE_TXT,9406b214-102a-589e-87f8-c9ebb6a3c6e6,TEXT,Type,"CONCRETEGRADE(C15,C20,C25,C30)",Generic Models,9406b214-102a-589e-87f8-c9ebb6a3c6e6
COM_DAT,CST_S_CON_GRADE_TXT,9406b214-102a-589e-87f8-c9ebb6a3c6e6,TEXT,Type,"CONCRETEGRADE(C15,C20,C25,C30)",Mechanical Equipment,9406b214-102a-589e-87f8-c9ebb6a3c6e6
COM_DAT,CST_S_CON_GRADE_TXT,9406b214-102a-589e-87f8-c9ebb6a3c6e6,TEXT,Type,"CONCRETEGRADE(C15,C20,C25,C30)",Plumbing Fixtures,9406b214-102a-589e-87f8-c9ebb6a3c6e6
COM_DAT,CST_S_CON_GRADE_TXT,9406b214-102a-589e-87f8-c9ebb6a3c6e6,TEXT,Type,"CONCRETEGRADE(C15,C20,C25,C30)",Specialty Equipment,9406b214-102a-589e-87f8-c9ebb6a3c6e6
COM_DAT,CST_S_CON_MIX_RATIO_TXT,17213af7-f26e-5499-9873-7cd198ebf13d,TEXT,Type,"CONCRETEMIXRATIO(1:2:4,1:1.5:3)",Casework,17213af7-f26e-5499-9873-7cd198ebf13d
COM_DAT,CST_S_CON_MIX_RATIO_TXT,17213af7-f26e-5499-9873-7cd198ebf13d,TEXT,Type,"CONCRETEMIXRATIO(1:2:4,1:1.5:3)",Electrical Equipment,17213af7-f26e-5499-9873-7cd198ebf13d
