# Parameter_Name,Categories(pipe)|<ALL>=universal
BLE_DOOR_OPERATION_TYPE_SWING_SLIDE_FOLD_ROLL_TXT,Doors
BLE_DOOR_OPERATION_TYPE_TXT,Doors
BLE_DOOR_PANIC_HARDWARE_REQUIRED_BOOL,Doors
BLE_DOOR_SECURITY_RATING_GRADE_TXT,Doors
BLE_DOOR_THRESHOLD_TXT,Doors
BLE_DOOR_TYPE_TXT,Doors
BLE_DOOR_WIDTH_MM,Doors
BLE_ELE_AREA_SQ_M,<ALL>
BLE_ELE_LENGTH_M,<ALL>
BLE_ELE_VOLUME_CU_M,<ALL>
BLE_FACADE_CLR_TXT,Walls|Curtain Panels|Curtain Wall Mullions
BLE_FACADE_FINISH_TXT,Walls|Curtain Panels|Curtain Wall Mullions
BLE_FACADE_FIX_SYSTEM_TXT,Walls|Curtain Panels|Curtain Wall Mullions
BLE_FACADE_INS_BOOL,Walls|Curtain Panels|Curtain Wall Mullions
BLE_FACADE_MAT_TXT,Walls|Curtain Panels|Curtain Wall Mullions
BLE_FACADE_PNL_SZ_TXT,Walls|Curtain Panels|Curtain Wall Mullions
BLE_FACADE_TYPE_TXT,Walls|Curtain Panels|Curtain Wall Mullions
BLE_FACADE_VENTILATED_TXT,Walls|Curtain Panels|Curtain Wall Mullions
BLE_FINISH_ADHESIVE_WEIGHT_KG,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_GROUT_WEIGHT_KG,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_PAINT_AREA_SQ_M,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_PAINT_COATS_NR,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_PAINT_VOLUME_L,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_PLASTER_AREA_SQ_M,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_PLASTER_RATIO_NR,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_PLASTER_THICKNESS_MM,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_TILE_AREA_SQ_M,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_TILE_QUANTITY_NR,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_TILE_SZ_TXT,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_TILE_SZ_TXT_W_MM,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_TXT,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FINISH_TYPE_TXT,Walls|Floors|Ceilings|Roofs|Rooms
BLE_FLOOR_LOAD_KN_M2,Floors
BLE_FLOOR_SLIP_RESISTANCE_TXT,Floors
BLE_FLOOR_WATERPROOF_TXT,Floors
BLE_FLR_AREA_SQ_M,Floors
BLE_FLR_FINISH_MAT_TXT,Floors
BLE_FLR_FINISH_THICKNESS_MM,Floors
BLE_FLR_FINISH_TXT,Floors
BLE_FLR_IMPACT_SOUND_INS_DB,Floors
BLE_FLR_LD_CAP_KPA,Floors
BLE_FLR_LVL_NR,Floors
BLE_FLR_MOISTURE_BARRIER_REQUIRED_BOOL,Floors
BLE_FLR_PERIMETER_DETAIL_TYPE_TXT,Floors
BLE_FLR_RAISED_ACCESS_FLR_TXT,Floors
BLE_FLR_RAISED_FLR_HEIGHT_MM,Floors
BLE_FLR_SLIP_RESISTANCE_RATING_NR,Floors
BLE_FLR_STRUCTURAL_SYSTEM_TXT,Floors
BLE_FLR_THICKNESS_MM,Floors
BLE_FLR_TILE_QTY_NR,Floors
BLE_FLR_TYPE_CLASSIFICATION_TXT,Floors
BLE_FLR_TYPE_TXT,Floors
BLE_FLR_UNDERFLR_HEATING_SYSTEM_TXT,Floors
