# This is a Revit shared parameter file.
# Do not edit manually.
*META	VERSION	MINVERSION
META	2	1
*GROUP	ID	NAME
GROUP	1	ASS_MNG
GROUP	2	CST_PROC
GROUP	3	COM_DAT
GROUP	4	ELC_PWR
GROUP	5	HVC_SYSTEMS
GROUP	6	PLM_DRN
GROUP	7	LTG_CONTROLS
GROUP	8	FLS_LIFE_SFTY
GROUP	9	PER_SUST
GROUP	10	BLE_ELES
GROUP	11	TPL_TRACKING
GROUP	12	MAT_INFO
GROUP	13	PRJ_INFORMATION
GROUP	14	PROP_PHYSICAL
GROUP	15	RGL_CMPL
GROUP	16	BLE_STRUCTURE
GROUP	17	STINGTags_ISO19650
GROUP	18	WARN_THRESHOLDS
GROUP	19	SLV_SLEEVE_PARAMS
GROUP	20	CLASH_COORDINATION
GROUP	21	ACC_SYNC
GROUP	22	IFC_EXCH
GROUP	23	HEALTH_METRICS
GROUP	24	ASBUILT
GROUP	25	COMMISSIONING
GROUP	26	TBL_TITLEBLOCK
GROUP	27	STING_DRAWING
GROUP	28	CLN_CLINICAL
GROUP	29	MGS_SYSTEMS
GROUP	30	RAD_PROTECTION
GROUP	31	CEQ_CLINICAL
GROUP	32	LIG_BEHAVIOURAL
GROUP	33	Identity
GROUP	34	Routing
*PARAM	GUID	NAME	DATATYPE	DATACATEGORY	GROUP	VISIBLE	DESCRIPTION	USERMODIFIABLE
PARAM	ad4e4145-628a-4bd4-b622-79c2aa300d41	BLE_HEADROOM_MM	TEXT		2	1	General headroom clearance in mm [ISO 19650-1:2018]	1
PARAM	16606b2b-a814-4599-a295-8fb7e35e73da	BLE_MULLION_DEPTH_MM	TEXT		2	1	Curtain wall mullion depth in mm [ISO 19650-1:2018]	1
PARAM	8e2aa7f3-0f84-4b2c-a8ae-71f21329eb1f	BLE_MULLION_FINISH_TXT	TEXT		2	1	Curtain wall mullion finish [ISO 19650-1:2018]	1
PARAM	eff23acf-6055-424a-a824-682a18cdfb45	BLE_MULLION_MATERIAL_TXT	TEXT		2	1	Curtain wall mullion material [ISO 19650-1:2018]	1
PARAM	13c8d3d5-989d-43b4-bcdd-eacaaaa33bf1	BLE_PANEL_GLASS_TYPE_TXT	TEXT		2	1	Curtain wall panel glass type [ISO 19650-1:2018]	1
PARAM	be1a1d83-5ab3-4637-977a-cfe1bf297dd3	BLE_PANEL_HEIGHT_MM	TEXT		2	1	Curtain wall panel height in mm [ISO 19650-1:2018]	1
PARAM	85f6f562-2570-4cdc-8823-dd780014efca	BLE_PANEL_WIDTH_MM	TEXT		2	1	Curtain wall panel width in mm [ISO 19650-1:2018]	1
PARAM	b5ac9b94-b39d-468d-847e-b49d346b3633	BLE_PARK_ACCESSIBLE_BOOL	TEXT		2	1	Parking bay meets accessibility standards [ISO 19650-1:2018]	1
PARAM	421958ca-f53b-4f18-999c-282ba0d8dcc7	BLE_PARK_BAY_LENGTH_MM	TEXT		2	1	Parking bay length in mm [ISO 19650-1:2018]	1
PARAM	eb9182d4-8c20-4d84-a53b-70bf9c771757	BLE_PARK_BAY_WIDTH_MM	TEXT		2	1	Parking bay width in mm [ISO 19650-1:2018]	1
