# v2.3 | 20260227 | BIM Template mr_parameters
Revit_Category,Parameter_Name,Parameter_GUID,Data_Type,Group_Name,Binding_Type,Description,Has_Formula,Formula,Input_Parameters,Discipline,User_Modifiable,Hide_When_No_Value
Ducts,HVC_DUCT_LINING_TXT,971cd951-7bac-5a58-a887-ab87eecad874,TEXT,HVC_SYSTEMS,Type,Hvc Duct Lining Txt [ISO 19650-1:2018],False,,,HVAC,1,0
Mechanical Equipment,HVC_EFF_RATIO_NR,f9f3d362-50dc-5880-accb-dcf8fff886b1,NUMBER,HVC_SYSTEMS,Type,Hvc Eff Ratio Nr [ISO 19650-1:2018],True,HVC_CAP_KW / HVC_PWR_KW,"HVC_CAP_KW, HVC_PWR_KW",HVAC,0,0
Mechanical Equipment,HVC_PIPE_FLOWRATE_LPS,3a9eccc0-aa9a-5602-a509-9bc01ccc771d,VOLUME,HVC_SYSTEMS,Type,Hvc Pipe Flowrate Lps [ISO 19650-1:2018],True,3.14159 * (Diameter / 2000) ^ 2 * HVC_VEL_MPS * 1000,"Diameter, HVC_VEL_MPS",HVAC,0,0
Mechanical Equipment,HVC_PIPE_PRESSURE_KPA,0772a943-2ff5-5106-b7ac-ec8a48da7e9f,PRESSURE,HVC_SYSTEMS,Type,Hvc Pipe Pressure Kpa [ISO 19650-1:2018],True,HVC_HED_M * 9.81,HVC_HED_M,HVAC,0,0
Mechanical Equipment,HVC_PWR_KW,7cdd6e98-8462-5ecf-9223-a830c5c4622b,ELECTRICAL_POWER,HVC_SYSTEMS,Type,Hvc Pwr Kw [ISO 19650-1:2018],False,,,HVAC,1,0
Mechanical Equipment,HVC_REFRIGERANT_TXT,e9b06b32-dead-5402-acbf-9daf33104f8d,TEXT,HVC_SYSTEMS,Type,Hvc Refrigerant Txt [ISO 19650-1:2018],False,,,HVAC,1,0
Air Terminals,HVC_TERMINAL_FINISH_TXT,5ba3a60c-0497-56c2-9f44-5f2e6f58320b,TEXT,HVC_SYSTEMS,Type,Hvc Terminal Finish Txt [ISO 19650-1:2018],False,,,HVAC,1,0
Air Terminals,HVC_TERMINAL_MAT_TXT,b4b20432-2a18-5392-809e-8768a0c45401,TEXT,HVC_SYSTEMS,Type,Hvc Terminal Mat Txt [ISO 19650-1:2018],False,,,HVAC,1,0
Mechanical Equipment,MEP_TYPE_TXT,1b1cd925-5ef5-5ce4-b184-0a1262345292,TEXT,PLM_DRN,Type,Plm Type Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Ducts,HVC_VEL_MPS,e7c4c2ab-a4f8-5c1d-bea0-933630bfae47,TEXT,HVC_SYSTEMS,Type,Hvc Vel Mps [ISO 19650-1:2018],False,,,HVAC,1,0
Mechanical Equipment,HVC_VLT_V,06b47e63-5eae-54ca-91ad-ef47d8aa57be,ELECTRICAL_POTENTIAL,HVC_SYSTEMS,Type,Hvc Vlt V [ISO 19650-1:2018],False,,,HVAC,1,0
Lighting Fixtures,LTG_FIX_LMP_WATTAGE_W,811bfba5-d434-5070-9aee-6779c85a4c21,VOLUME,LTG_CONTROLS,Type,Ltg Fix Lmp Wattage W [ISO 19650-1:2018],False,,,ELECTRICAL,1,0
Plumbing Fixtures,PLM_CAP_CU_M,74e958db-d525-50f5-9982-424f81b051a3,VOLUME,PLM_DRN,Type,Plm Cap Cu M [ISO 19650-1:2018],False,,,PLUMBING,1,0
Plumbing Equipment,PLM_DRN_VEL_MPS,f187bab9-9d0e-5fa5-bd02-2b501d41e049,TEXT,PLM_DRN,Type,Plm Drn Vel Mps [ISO 19650-1:2018],True,(1 / 0.013) * (PLM_PPE_SZ_MM / 4000) ^ 0.667 * (PLM_DRN_PPE_SLOPE_PCT / 100) ^ 0.5,"PLM_PPE_SZ_MM, PLM_DRN_PPE_SLOPE_PCT",PLUMBING,0,0
Plumbing Equipment,PLM_HED_M,9048b4fd-9159-5fac-af3b-14004621818c,LENGTH,PLM_DRN,Type,Plm Hed M [ISO 19650-1:2018],True,PLM_PSR_KPA / 9.81,PLM_PSR_KPA,PLUMBING,0,0
Plumbing Equipment,PLM_HOTWTR_INPUT_PWR_KW,ca5441cb-4979-51d9-951a-9f2ecab4bc6b,ELECTRICAL_POWER,PLM_DRN,Type,Plm Hotwtr Input Pwr Kw [ISO 19650-1:2018],False,,,PLUMBING,1,0
Plumbing Equipment,PLM_HOTWTR_STORAGE_CAP_GAL_NR,6a4fd2df-a978-5dc5-8ef1-5f79364c525a,NUMBER,PLM_DRN,Type,Plm Hotwtr Storage Cap Gal Nr [ISO 19650-1:2018],True,PLM_CAP_CU_M * 264.172,PLM_CAP_CU_M,PLUMBING,0,0
