# v2.3 | 20260227 | BIM Template category_bindings
Parameter_Name,Revit_Category,Binding_Type,Is_Shared
ASS_EXPECTED_LIFE_YEARS_YRS,Plumbing Equipment,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Plumbing Fixtures,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Specialty Equipment,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Sprinklers,Type,True
ASS_ID_TXT,Air Terminals,Type,True
ASS_ID_TXT,Cable Trays,Type,True
ASS_ID_TXT,Casework,Type,True
ASS_ID_TXT,Ceilings,Type,True
ASS_ID_TXT,Conduits,Type,True
ASS_ID_TXT,Curtain Panels,Type,True
ASS_ID_TXT,Curtain Wall Mullions,Type,True
ASS_ID_TXT,Doors,Type,True
ASS_ID_TXT,Ducts,Type,True
ASS_ID_TXT,Electrical Equipment,Type,True
ASS_ID_TXT,Electrical Fixtures,Type,True
ASS_ID_TXT,Floors,Type,True
ASS_ID_TXT,Furniture,Type,True
ASS_ID_TXT,Generic Models,Type,True
ASS_ID_TXT,Lighting Fixtures,Type,True
ASS_ID_TXT,Mechanical Equipment,Type,True
ASS_ID_TXT,Pipe Accessories,Type,True
ASS_ID_TXT,Pipe Fittings,Type,True
ASS_ID_TXT,Pipes,Type,True
ASS_ID_TXT,Plumbing Equipment,Type,True
ASS_ID_TXT,Plumbing Fixtures,Type,True
ASS_ID_TXT,Ramps,Type,True
ASS_ID_TXT,Roofs,Type,True
ASS_ID_TXT,Rooms,Type,True
ASS_ID_TXT,Specialty Equipment,Type,True
ASS_ID_TXT,Sprinklers,Type,True
ASS_ID_TXT,Stairs,Type,True
ASS_ID_TXT,Walls,Type,True
ASS_ID_TXT,Windows,Type,True
ASS_INST_DATE_TXT,Air Terminals,Type,True
ASS_INST_DATE_TXT,Cable Trays,Type,True
ASS_INST_DATE_TXT,Casework,Type,True
ASS_INST_DATE_TXT,Conduits,Type,True
ASS_INST_DATE_TXT,Electrical Equipment,Type,True
ASS_INST_DATE_TXT,Electrical Fixtures,Type,True
ASS_INST_DATE_TXT,Furniture,Type,True
ASS_INST_DATE_TXT,Generic Models,Type,True
ASS_INST_DATE_TXT,Lighting Fixtures,Type,True
ASS_INST_DATE_TXT,Mechanical Equipment,Type,True
ASS_INST_DATE_TXT,Plumbing Equipment,Type,True
ASS_INST_DATE_TXT,Plumbing Fixtures,Type,True
ASS_INST_DATE_TXT,Specialty Equipment,Type,True
ASS_INST_DATE_TXT,Sprinklers,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Air Terminals,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Cable Trays,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Casework,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Conduits,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Electrical Equipment,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Electrical Fixtures,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Furniture,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Generic Models,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Lighting Fixtures,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Mechanical Equipment,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Plumbing Equipment,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Plumbing Fixtures,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Specialty Equipment,Type,True
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Sprinklers,Type,True
ASS_LOC_TXT,Air Terminals,Type,True
ASS_LOC_TXT,Cable Trays,Type,True
ASS_LOC_TXT,Casework,Type,True
ASS_LOC_TXT,Ceilings,Type,True
ASS_LOC_TXT,Conduits,Type,True
ASS_LOC_TXT,Curtain Panels,Type,True
ASS_LOC_TXT,Curtain Wall Mullions,Type,True
ASS_LOC_TXT,Doors,Type,True
ASS_LOC_TXT,Ducts,Type,True
ASS_LOC_TXT,Electrical Equipment,Type,True
ASS_LOC_TXT,Electrical Fixtures,Type,True
ASS_LOC_TXT,Floors,Type,True
ASS_LOC_TXT,Furniture,Type,True
ASS_LOC_TXT,Generic Models,Type,True
ASS_LOC_TXT,Lighting Fixtures,Type,True
ASS_LOC_TXT,Mechanical Equipment,Type,True
ASS_LOC_TXT,Pipe Accessories,Type,True
ASS_LOC_TXT,Pipe Fittings,Type,True
ASS_LOC_TXT,Pipes,Type,True
ASS_LOC_TXT,Plumbing Equipment,Type,True
ASS_LOC_TXT,Plumbing Fixtures,Type,True
ASS_LOC_TXT,Ramps,Type,True
ASS_LOC_TXT,Roofs,Type,True
ASS_LOC_TXT,Rooms,Type,True
ASS_LOC_TXT,Specialty Equipment,Type,True
ASS_LOC_TXT,Sprinklers,Type,True
ASS_LOC_TXT,Stairs,Type,True
ASS_LOC_TXT,Walls,Type,True
ASS_LOC_TXT,Windows,Type,True
ASS_LVL_COD_TXT,Air Terminals,Type,True
ASS_LVL_COD_TXT,Cable Trays,Type,True
ASS_LVL_COD_TXT,Casework,Type,True
ASS_LVL_COD_TXT,Conduits,Type,True
ASS_LVL_COD_TXT,Electrical Equipment,Type,True
ASS_LVL_COD_TXT,Electrical Fixtures,Type,True
ASS_LVL_COD_TXT,Furniture,Type,True
ASS_LVL_COD_TXT,Generic Models,Type,True
ASS_LVL_COD_TXT,Lighting Fixtures,Type,True
ASS_LVL_COD_TXT,Mechanical Equipment,Type,True
ASS_LVL_COD_TXT,Plumbing Equipment,Type,True
ASS_LVL_COD_TXT,Plumbing Fixtures,Type,True
ASS_LVL_COD_TXT,Specialty Equipment,Type,True
ASS_LVL_COD_TXT,Sprinklers,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Air Terminals,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Cable Trays,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Casework,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Conduits,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Electrical Equipment,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Electrical Fixtures,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Furniture,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Generic Models,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Lighting Fixtures,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Mechanical Equipment,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Plumbing Equipment,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Plumbing Fixtures,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Specialty Equipment,Type,True
ASS_MAINTENANCE_FREQUENCY_MONTHS,Sprinklers,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Air Terminals,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Cable Trays,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Casework,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Conduits,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Electrical Equipment,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Electrical Fixtures,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Furniture,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Generic Models,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Lighting Fixtures,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Mechanical Equipment,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Plumbing Equipment,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Plumbing Fixtures,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Specialty Equipment,Type,True
ASS_MAINTENANCE_SCHEDULE_TXT,Sprinklers,Type,True
ASS_MANUFACTURER_TXT,Air Terminals,Type,True
ASS_MANUFACTURER_TXT,Cable Trays,Type,True
ASS_MANUFACTURER_TXT,Casework,Type,True
ASS_MANUFACTURER_TXT,Conduits,Type,True
ASS_MANUFACTURER_TXT,Electrical Equipment,Type,True
ASS_MANUFACTURER_TXT,Electrical Fixtures,Type,True
ASS_MANUFACTURER_TXT,Furniture,Type,True
ASS_MANUFACTURER_TXT,Generic Models,Type,True
ASS_MANUFACTURER_TXT,Lighting Fixtures,Type,True
ASS_MANUFACTURER_TXT,Mechanical Equipment,Type,True
ASS_MANUFACTURER_TXT,Plumbing Equipment,Type,True
ASS_MANUFACTURER_TXT,Plumbing Fixtures,Type,True
ASS_MANUFACTURER_TXT,Specialty Equipment,Type,True
ASS_MANUFACTURER_TXT,Sprinklers,Type,True
ASS_MODEL_NR_TXT,Air Terminals,Type,True
ASS_MODEL_NR_TXT,Cable Trays,Type,True
ASS_MODEL_NR_TXT,Casework,Type,True
ASS_MODEL_NR_TXT,Conduits,Type,True
ASS_MODEL_NR_TXT,Electrical Equipment,Type,True
ASS_MODEL_NR_TXT,Electrical Fixtures,Type,True
ASS_MODEL_NR_TXT,Furniture,Type,True
ASS_MODEL_NR_TXT,Generic Models,Type,True
ASS_MODEL_NR_TXT,Lighting Fixtures,Type,True
ASS_MODEL_NR_TXT,Mechanical Equipment,Type,True
ASS_MODEL_NR_TXT,Plumbing Equipment,Type,True
ASS_MODEL_NR_TXT,Plumbing Fixtures,Type,True
ASS_MODEL_NR_TXT,Specialty Equipment,Type,True
ASS_MODEL_NR_TXT,Sprinklers,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Air Terminals,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Cable Trays,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Casework,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Conduits,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Electrical Equipment,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Electrical Fixtures,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Furniture,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Generic Models,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Lighting Fixtures,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Mechanical Equipment,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Plumbing Equipment,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Plumbing Fixtures,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Specialty Equipment,Type,True
ASS_NUMBER_OF_DAT_OUTLETS_INT,Sprinklers,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Air Terminals,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Cable Trays,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Casework,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Conduits,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Electrical Equipment,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Electrical Fixtures,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Furniture,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Generic Models,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Lighting Fixtures,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Mechanical Equipment,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Plumbing Equipment,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Plumbing Fixtures,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Specialty Equipment,Type,True
ASS_NUMBER_OF_PWR_OUTLETS_INT,Sprinklers,Type,True
ASS_OANDM_MANUALS_PROVIDED_TXT,Generic Models,Type,True
